,Test,p-value
original_glcm_Imc2,Kruskal-Wallis,1.3224250535688923e-88
original_glcm_Correlation,Kruskal-Wallis,6.342267043249224e-88
squareroot_glcm_Imc2,Kruskal-Wallis,1.2309078396841555e-86
squareroot_glcm_Correlation,Kruskal-Wallis,1.3243759761797605e-85
original_glcm_MCC,Kruskal-Wallis,2.933282293438046e-85
logarithm_glcm_Imc2,Kruskal-Wallis,4.533875750744724e-85
logarithm_glcm_Correlation,Kruskal-Wallis,3.4366708105791683e-84
logarithm_glcm_Imc1,Kruskal-Wallis,9.663683806430565e-84
squareroot_glcm_Imc1,Kruskal-Wallis,5.14951050981582e-82
original_glcm_Imc1,Kruskal-Wallis,6.715021305755431e-82
squareroot_glcm_MCC,Kruskal-Wallis,3.647532686287026e-81
logarithm_glcm_MCC,Kruskal-Wallis,1.2775117418104627e-79
original_glcm_ClusterTendency,Kruskal-Wallis,1.7547983127137382e-79
log-sigma-2-mm-3D_firstorder_10Percentile,Kruskal-Wallis,3.855656182926776e-79
wavelet2-LL_glcm_Imc2,Kruskal-Wallis,4.2131438513625393e-79
wavelet2-LL_glcm_Correlation,Kruskal-Wallis,9.16787952169777e-78
original_glrlm_RunEntropy,Kruskal-Wallis,1.042769843728663e-77
original_glcm_SumSquares,Kruskal-Wallis,5.894895718289522e-77
exponential_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,1.4433486205170042e-76
exponential_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,2.0095003743567515e-76
original_glcm_SumEntropy,Kruskal-Wallis,3.145673344018871e-75
squareroot_glszm_ZoneEntropy,Kruskal-Wallis,6.216183351017483e-75
original_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,6.7981854625035005e-75
original_glcm_ClusterShade,Kruskal-Wallis,8.23712939747854e-75
original_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,1.126923555020553e-74
squareroot_firstorder_90Percentile,Kruskal-Wallis,1.7515517481232737e-74
squareroot_firstorder_Kurtosis,Kruskal-Wallis,1.8343861284896833e-74
squareroot_glcm_ClusterTendency,Kruskal-Wallis,1.127786530598839e-73
logarithm_firstorder_Kurtosis,Kruskal-Wallis,1.6351866244997047e-73
original_glcm_ClusterProminence,Kruskal-Wallis,2.6053277906866175e-73
wavelet2-LL_glcm_ClusterTendency,Kruskal-Wallis,2.7536046358720192e-73
original_firstorder_Variance,Kruskal-Wallis,5.785343612751248e-73
squareroot_ngtdm_Contrast,Kruskal-Wallis,7.802601295100809e-73
wavelet2-LL_glcm_SumEntropy,Kruskal-Wallis,8.084622415712822e-73
original_firstorder_90Percentile,Kruskal-Wallis,8.441978297700818e-73
original_gldm_GrayLevelVariance,Kruskal-Wallis,8.911890800909074e-73
original_ngtdm_Contrast,Kruskal-Wallis,9.170723743674016e-73
squareroot_glrlm_RunEntropy,Kruskal-Wallis,8.046729480289498e-72
log-sigma-0-6-mm-3D_firstorder_10Percentile,Kruskal-Wallis,8.785867162423417e-72
logarithm_firstorder_Skewness,Kruskal-Wallis,9.372200284890579e-72
squareroot_glcm_SumSquares,Kruskal-Wallis,1.5354481346692097e-71
exponential_firstorder_InterquartileRange,Kruskal-Wallis,1.8650141617914364e-71
original_gldm_DependenceEntropy,Kruskal-Wallis,4.595724744372423e-71
original_firstorder_InterquartileRange,Kruskal-Wallis,1.0191249144448002e-70
wavelet2-LL_glcm_Imc1,Kruskal-Wallis,1.374435510257223e-70
squareroot_glcm_Idmn,Kruskal-Wallis,2.2462275645343906e-70
squareroot_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,2.31867117907705e-70
wavelet2-LL_glcm_SumSquares,Kruskal-Wallis,2.4273104207447947e-70
